PosX,PosY,LKHD DIST,lookAheadX,lookAheadY,left,right,ONLAST,INDEX,VEL
0,0,10,1.10728,9.93851,117.849,90.2046,0,0,21.7874
0.00841,0.87129,10,1.27809,10.7904,117.485,90.5694,0,0,21.7874
0.03341,1.74227,10,1.54797,11.6269,118.222,89.8321,0,0,21.7874
0.07521,2.61259,10,1.87805,12.4487,119.389,88.6647,0,0,21.7874
0.13495,3.48187,10,2.20592,13.2651,115.346,84.442,0,1,20.9217
0.21026,4.31519,10,2.51917,14.045,115.68,84.1075,0,1,20.9217
0.30372,5.14666,10,2.83124,14.822,115.739,84.049,0,1,20.9217
0.41552,5.97587,10,3.2795,15.557,117.261,82.5267,0,1,20.9217
0.5465,6.80227,10,3.77251,16.2676,118.892,80.8957,0,1,20.9217
0.69842,7.62507,10,4.25946,16.9695,119.968,79.8196,0,1,20.9217
0.87272,8.44343,10,4.7417,17.6646,120.576,79.2117,0,1,20.9217
1.07023,9.25649,10,5.31632,18.3103,117.724,75.0019,0,2,20.1822
1.28368,10.0349,10,5.959,18.8747,119.783,72.9434,0,2,20.1822
1.52136,10.8062,10,6.58843,19.4274,121.159,71.567,0,2,20.1822
1.78486,11.5692,10,7.20759,19.9712,121.968,70.7584,0,2,20.1822
2.07503,12.3223,10,7.90582,20.4465,123.502,69.224,0,2,20.1822
2.39272,13.0643,10,8.66307,20.8542,121.488,65.1554,0,3,19.5452
2.72789,13.7705,10,9.37773,21.239,122.615,64.0284,0,3,19.5452
3.09111,14.4626,10,10.0785,21.6164,123.184,63.4594,0,3,19.5452
3.48258,15.1392,10,10.831,21.9216,124.274,62.3695,0,3,19.5452
3.90242,15.7985,10,11.6081,22.1721,125.465,61.1785,0,3,19.5452
4.35087,16.4387,10,12.3672,22.4169,122.387,58.8388,0,4,18.978
4.8136,17.0403,10,13.0916,22.6505,122.471,58.7553,0,4,18.978
5.30259,17.6208,10,13.8287,22.8462,122.607,58.6189,0,4,18.978
5.81695,18.1789,10,14.5857,22.986,122.992,58.2348,0,4,18.978
6.35586,18.7134,10,15.3308,23.1236,122.942,58.2845,0,4,18.978
6.91836,19.2229,10,16.0674,23.2597,119.079,57.0364,0,5,18.4428
7.48634,19.6934,10,16.7777,23.3909,118.422,57.694,0,5,18.4428
8.07396,20.1392,10,17.5013,23.4746,118.046,58.0698,0,5,18.4428
8.67983,20.5599,10,18.2228,23.5484,117.509,58.607,0,5,18.4428
9.30262,20.955,10,18.9405,23.6217,113.337,57.6445,0,6,17.9051
9.92211,21.3141,10,19.6351,23.6928,112.437,58.5437,0,6,17.9051
10.5549,21.6493,10,20.3288,23.7637,111.397,59.5842,0,6,17.9051
11.1996,21.961,10,21.0269,23.8112,110.48,60.5007,0,6,17.9051
11.8549,22.2495,10,21.7251,23.8556,109.475,61.5061,0,6,17.9051
12.5198,22.5155,10,22.4235,23.8999,104.953,60.6375,0,7,17.3406
13.1716,22.7522,10,23.1005,23.9429,103.848,61.7427,0,7,17.3406
13.8303,22.9691,10,23.7785,23.9859,102.692,62.8989,0,7,17.3406
14.4949,23.1672,10,24.4577,24.0291,101.501,64.0894,0,7,17.3406
15.1646,23.3472,10,25.1383,24.0723,96.7992,63.0259,0,8,16.7369
