PosX,PosY,LKHD DIST,lookAheadX,lookAheadY,left,right,ONLAST,INDEX,VEL
20,-10,10,19.9341,-0.00021,99.8082,101.399,0,0,21.0704
19.9995,-9.15734,10,19.9209,0.84235,98.6677,100.28,0,1,20.8337
19.9981,-8.32415,10,19.9052,1.67542,98.6311,100.316,0,1,20.8337
19.9958,-7.49096,10,19.8886,2.50847,97.4905,99.2146,0,2,20.5989
19.9925,-6.66717,10,19.8697,3.33208,97.4476,99.2575,0,2,20.5989
19.9882,-5.84338,10,19.849,4.15566,96.303,98.1781,0,3,20.366
19.9828,-5.02891,10,19.8268,4.96988,96.2588,98.2223,0,3,20.366
19.9764,-4.21445,10,19.8017,5.78403,95.1091,97.1664,0,4,20.135
19.969,-3.40923,10,19.7756,6.5889,95.0594,97.2161,0,4,20.135
19.9603,-2.60403,10,19.7459,7.39367,93.91,96.1785,0,5,19.906
19.9505,-1.808,10,19.7145,8.18922,93.8443,96.2443,0,5,19.906
19.9394,-1.01198,10,19.6808,8.98467,92.708,95.2123,0,6,19.679
19.9271,-0.22507,10,19.6436,9.77091,92.6244,95.2959,0,6,19.679
19.9134,0.56182,10,19.6046,10.557,91.4902,94.2809,0,7,19.4539
19.8984,1.33969,10,19.5621,11.334,91.402,94.3691,0,7,19.4539
19.8818,2.11752,10,19.5163,12.1108,90.2598,93.3812,0,8,19.2309
19.8637,2.8864,10,19.4687,12.8786,90.1738,93.4672,0,8,19.2309
19.8439,3.65523,10,19.4158,13.6461,89.0267,92.5035,0,9,19.0098
19.8226,4.41518,10,19.3603,14.4045,88.9191,92.6112,0,9,19.0098
19.7993,5.17507,10,19.302,15.1627,87.7941,91.6449,0,10,18.7908
19.7744,5.92615,10,19.2379,15.9117,86.65,90.7175,0,11,18.5739
19.7477,6.66848,10,19.1713,16.6519,86.5268,90.8406,0,11,18.5739
19.7188,7.41074,10,19.1012,17.3916,85.4084,89.9072,0,12,18.359
19.6879,8.14431,10,19.0247,18.1223,85.2577,90.0579,0,12,18.359
19.6548,8.87778,10,18.9443,18.8525,84.1253,89.1585,0,13,18.1462
19.6194,9.60263,10,18.8605,19.5738,83.9857,89.2981,0,13,18.1462
19.5815,10.3274,10,18.7692,20.2943,82.8413,88.4308,0,14,17.9356
19.5413,11.0435,10,18.6735,21.0058,81.7087,87.572,0,15,17.727
19.4988,11.7512,10,18.5739,21.7083,81.5424,87.7382,0,15,17.727
19.4532,12.4587,10,18.4672,22.4099,80.4106,86.8989,0,16,17.5206
19.4051,13.1577,10,18.354,23.1023,80.2079,87.1016,0,16,17.5206
19.3538,13.8565,10,18.2346,23.7937,79.0711,86.2877,0,17,17.3163
19.2996,14.5469,10,18.1101,24.4759,78.8688,86.49,0,17,17.3163
19.2419,15.237,10,17.9759,25.1566,77.7152,85.7135,0,18,17.1142
19.1811,15.9188,10,17.835,25.8277,76.5648,84.9542,0,19,16.9142
19.1171,16.5922,10,17.688,26.4895,76.3197,85.1993,0,19,16.9142
19.0492,17.2652,10,17.5329,27.1496,75.1769,84.4531,0,20,16.7164
18.9778,17.9299,10,17.369,27.7996,74.024,83.7375,0,21,16.5208
18.9028,18.5863,10,17.1963,28.4397,73.7283,84.0332,0,21,16.5208
18.8233,19.2422,10,17.0142,29.0772,72.5622,83.3513,0,22,16.3272
18.74,19.8899,10,16.8241,29.7046,72.2512,83.6623,0,22,16.3272
